,condition,created_at,id,max_quantity,merchant_return_insurance,min_quantity,name,price,rush_delivery,sku_id,state,stock,weight,category_url,rating_average_rate,rating_user_count,sla_type,sla_value,stats_interest_count,stats_sold_count,stats_view_count,stats_waiting_payment_count,store_address_city,store_address_province,store_brand_seller,store_delivery_time,store_id,store_description,store_level_name,store_name,store_premium_level,store_premium_top_seller,store_rejection_recent_transactions,store_rejection_rejected,store_reviews_negative,store_reviews_positive,store_sla_type,store_sla_value,store_subscriber_amount,store_url,warranty_cheapest,deal_applied_date,deal_discount_price,deal_expired_date,deal_original_price,deal_percentage,url,timestamp
49,Baru,2022-01-05 00:47:01,4gyim5y,2147483647,False,1,Kopi RDX cafe,52500,False,9819672682,available,4,600,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,101,,0,0,374,0,0.0,Jakarta Timur,DKI Jakarta,False,16 jam,581217995,,Recommended Seller,Pangeran Herbal,platinum,True,100,0,55,27296,normal,2,11,https://www.bukalapak.com/u/pangeran_herbal_299874,False,2022-01-09 17:00:00,52500,2023-05-31 16:59:59,65000,19,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gyim5y-jual-kopi-rdx-cafe,2022-06-19
50,Baru,2021-09-16 07:28:16,4ginoap,2147483647,False,1,Kopi Indocafe Coffeemix 10 saset sachet 1 renceng,12893,False,9780750943,available,13,256,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,50,,0,3,371,0,6.0,Depok,Jawa Barat,False,11 jam,50335897,Sembako dan Kebutuhan Sehari-hari Anda,Juragan,Toko Gaol,platinum,True,100,2,25,4464,normal,2,61,https://www.bukalapak.com/u/tommy_johnson,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4ginoap-jual-kopi-indocafe-coffeemix-10-saset-sachet-1-renceng,2022-06-19
51,Baru,2021-11-18 15:33:50,4gt5qgj,2147483647,False,1,Luwak Tarik Malaka White Koffie 10sachet,12990,False,9806495533,available,1970,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,150,,0,1,351,0,5.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qgj-jual-luwak-tarik-malaka-white-koffie-10sachet,2022-06-19
52,Baru,2021-11-18 15:34:33,4gt5qyd,2147483647,False,1,Torabika Kopi Jahe Susu RENCENG,11300,False,9806496661,available,284,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,146,,0,1,348,0,0.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qyd-jual-torabika-kopi-jahe-susu-renceng,2022-06-19
53,Baru,2022-03-29 07:50:51,4h5vqt4,2147483647,False,1,Kopi Kingkong Merah Asli Bangka 450gr,42000,False,9840727843,available,999669,500,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,65,,0,0,324,0,0.0,Jakarta Barat,DKI Jakarta,False,1-2 hari,17303043,"1st Hand Snacks Distributor
deKarrel, Dong Alo, Jajanan Pasar, Oleh Oleh Khas Bangka, Velout, Bihun Segitiga Bintang, dll.

BACALAH DESKRIPSI PRODUK sebelum transaksi. Membeli = setuju dan sudah membaca segala ketentuan di toko kami. Happy shopping! 

Instagram: @moshisnacks",Recommended Seller,Moshi Snacks,platinum,True,100,4,38,15864,normal,2,18,https://www.bukalapak.com/u/rantimettatirtha,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h5vqt4-jual-kopi-kingkong-merah-asli-bangka-450gr,2022-06-19
54,Baru,2021-09-17 07:35:00,4givjvs,2147483647,False,1,kopi torabika cappucino 10x25g,17500,False,9781248496,available,999894,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,48,,0,0,313,0,0.0,Tangerang,Banten,False,10 jam,569143070,kebutuhan sembako lengkap dan murah,Recommended Seller,nabe,platinum,True,100,2,43,10544,normal,2,35,https://www.bukalapak.com/u/nabe_962871,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4givjvs-jual-kopi-torabika-cappucino-10x25g,2022-06-19
55,Baru,2022-01-18 01:39:27,4gzurwd,2147483647,False,1,indocafe coffeemix,15000,False,9823138987,available,7,350,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,80,,0,0,307,0,0.0,Jakarta Pusat,DKI Jakarta,False,1-2 hari,364499756,,Recommended Seller,Toko Ali Jaya,platinum,False,11,0,12,25968,normal,2,5,https://www.bukalapak.com/u/antono_gautama386,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gzurwd-jual-indocafe-coffeemix,2022-06-19
56,Baru,2021-11-18 15:34:03,4gt5qlg,2147483647,False,1,Tora Cafe Cappuccino renceng,11200,False,9806495818,available,200,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.8,133,,0,0,298,0,0.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qlg-jual-tora-cafe-cappuccino-renceng,2022-06-19
57,Baru,2022-03-28 09:42:19,4h5tm1d,2147483647,False,1,Kopi bubuk tung tau khas bangka 225 gram,51500,False,9840544612,available,999806,260,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,21,,0,0,280,0,0.0,Pangkal Pinang,Kepulauan Bangka Belitung,False,15 jam,5080669,KEPUASAN ANDA KEUTAMAAN KAMI,Juragan,Herlinda,platinum,True,100,0,4,3367,normal,2,92,https://www.bukalapak.com/u/toko_lapak,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h5tm1d-jual-kopi-bubuk-tung-tau-khas-bangka-225-gram,2022-06-19
58,Baru,2022-01-24 10:07:05,4h0ibzm,2147483647,False,1,Arabika Sidikalang 200 Gram - Kopi Bubuk Biji - Premium Arabica Coffee by Sentra Kopi,66000,False,9825358270,available,2873,210,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,134,,0,1,279,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0ibzm-jual-arabika-sidikalang-200-gram-kopi-bubuk-biji-premium-arabica-coffee-by-sentra-kopi,2022-06-19
59,Baru,2022-01-24 10:02:19,4h0iakv,2147483647,False,1,Mandheling Arabica 200 Gram - Kopi BUBUK BIJI Arabika - Premium Coffee,58000,False,9825355684,available,4886,210,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,136,,0,0,263,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,2022-02-20 17:00:00,58000,2022-12-31 16:59:59,64000,9,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0iakv-jual-mandheling-arabica-200-gram-kopi-bubuk-biji-arabika-premium-coffee,2022-06-19
60,Baru,2022-01-18 01:38:45,4gzuroa,2147483647,False,1,Good Day Cappuccino,16500,False,9823138534,available,15,350,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,90,,0,1,250,0,0.0,Jakarta Pusat,DKI Jakarta,False,1-2 hari,364499756,,Recommended Seller,Toko Ali Jaya,platinum,False,11,0,12,25968,normal,2,5,https://www.bukalapak.com/u/antono_gautama386,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gzuroa-jual-good-day-cappuccino,2022-06-19
61,Baru,2022-03-29 07:50:26,4h5vqhp,2147483647,False,1,Kopi Bangka Kingkong Asli 450gr Kingkong Special Hitam,27000,False,9840727324,available,999563,500,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,59,,0,0,247,0,0.0,Jakarta Barat,DKI Jakarta,False,1-2 hari,17303043,"1st Hand Snacks Distributor
deKarrel, Dong Alo, Jajanan Pasar, Oleh Oleh Khas Bangka, Velout, Bihun Segitiga Bintang, dll.

BACALAH DESKRIPSI PRODUK sebelum transaksi. Membeli = setuju dan sudah membaca segala ketentuan di toko kami. Happy shopping! 

Instagram: @moshisnacks",Recommended Seller,Moshi Snacks,platinum,True,100,4,38,15864,normal,2,18,https://www.bukalapak.com/u/rantimettatirtha,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h5vqhp-jual-kopi-bangka-kingkong-asli-450gr-kingkong-special-hitam,2022-06-19
62,Baru,2022-01-24 10:02:12,4h0iaka,2147483647,False,1,Arabika Gayo Wine 500 Gr - Kopi Bubuk Biji - Premium Aceh Gayo Arabica Coffee by Sentra Kopi,159000,False,9825355606,available,92,500,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,125,,0,0,241,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,2022-02-20 17:00:00,159000,2022-12-31 16:59:59,180000,12,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0iaka-jual-arabika-gayo-wine-500-gr-kopi-bubuk-biji-premium-aceh-gayo-arabica-coffee-by-sentra-kopi,2022-06-19
63,Baru,2022-01-24 09:59:47,4h0ia8v,2147483647,False,1,Kopi Arabika Papua Wamena 500 Gram - Bubuk Biji - Premium Arabica Coffee,135000,False,9825354661,available,2925,500,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,129,,0,0,223,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,2022-02-20 17:00:00,135000,2022-12-31 16:59:59,151800,11,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0ia8v-jual-kopi-arabika-papua-wamena-500-gram-bubuk-biji-premium-arabica-coffee,2022-06-19
